						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
12			2035   				7				0				5				5
12			2051   				9				0				3				3
14			2074   				11				0				3				3
15			2025   				7				0				8				8
18			2124   				15				0				3				3
19			2136   				16				0				3				3
19			2044   				8				0				11				11
22			95   				11				0				11				11
24			216   				24				H				24				0
25			118   				14				0				11				11
26			2196   				22				0				4				4
33			2247   				30				0				3				3
35			2262   				31				0				4				4
36			2181   				21				0				15				15
37			2230   				29				0				8				8
38			2194   				22				0				16				16
39			2206   				24				0				15				15
41			2009   				4				0				37				37
41			378   				40				0				1				1
42			2221   				28				0				14				14
42			390   				42				H				42				0
44			2239   				29				0				15				15
47			444   				47				H				47				0
48			436   				47				H				48				1
49			2371   				47				0				2				2
53			491   				51				H				53				2
53			504   				52				0				1				1
57			2426   				53				0				4				4
60			480   				50				H				60				10
61			2052   				9				2				50				52
64			2022   				5				4				55				59
64			587   				63				0				1				1
66			606   				66				H				66				0
72			628   				68				H				72				4
72			6   				1				3				68				71
73			2611   				70				0				3				3
77			616   				67				H				77				10
80			2666   				76				0				4				4
81			2677   				77				0				4				4
81			2586   				68				0				13				13
84			746   				79				H				84				5
85			2714   				82				0				3				3
87			2735   				84				0				3				3
87			2576   				68				14				5				19
92			2773   				88				0				4				4
92			2771   				88				0				4				4
93			2542   				64				0				29				29
94			2039   				8				0				86				86
94			2642   				74				0				20				20
95			20   				5				2				88				90
96			2513   				61				0				35				35
97			2482   				59				0				38				38
98			2419   				52				0				46				46
104			2907   				101				0				3				3
105			906   				95				H				105				10
107			2914   				102				0				5				5
108			2118   				14				0				94				94
108			2891   				100				0				8				8
108			992   				102				5				1				6
110			2368   				47				0				63				63
114			2978   				111				0				3				3
116			999   				103				0				13				13
116			995   				102				0				14				14
116			2298   				38				0				78				78
117			2364   				47				64				6				70
117			974   				101				13				3				16
118			2309   				41				0				77				77
118			972   				100				0				18				18
120			989   				102				6				12				18
121			988   				102				8				11				19
121			2337   				44				0				77				77
122			984   				101				0				21				21
122			2353   				45				0				77				77
123			2383   				48				0				75				75
124			982   				101				11				12				23
127			2367   				47				75				5				80
